nr_core  nr_sol  npol  
      11       4     101
raxis  zaxis  
       541.08313       19.548787
       539.31028       20.280162
       537.60498       20.959202
       535.95158       21.589100
       534.34376       22.182748
       532.76604       22.736912
       531.21215       23.260953
       529.67561       23.765036
       528.14346       24.242568
       526.60817       24.699291
       525.06067       25.131212
       523.49296       25.539081
       521.89786       25.927358
       520.26677       26.293979
       518.59074       26.638482
       516.86272       26.946657
       515.07506       27.215779
       513.22293       27.434994
       511.30002       27.596702
       509.30414       27.689314
       507.24100       27.681583
       505.11477       27.562024
       502.94438       27.296446
       500.74832       26.865472
       498.55863       26.241537
       496.40737       25.408425
       494.32776       24.359345
       492.36821       23.080721
       490.55051       21.591112
       488.88622       19.915784
       487.40787       18.065471
       486.11301       16.072592
       485.00064       13.964033
       484.08155       11.758393
       483.33536       9.4834979
       482.75997       7.1559331
       482.35391       4.7906253
       482.10834       2.4018242
       482.02831    0.0011360308
       482.11432      -2.3992561
       482.35397      -4.7883797
       482.75911      -7.1538870
       483.33255      -9.4819764
       484.08008      -11.756671
       485.00594      -13.959701
       486.11565      -16.069139
       487.40822      -18.063116
       488.88363      -19.915271
       490.54304      -21.594468
       492.36426      -23.081953
       494.32904      -24.356074
       496.40611      -25.407939
       498.55694      -26.241605
       500.74371      -26.870177
       502.94314      -27.296419
       505.11537      -27.559276
       507.23800      -27.686309
       509.30402      -27.687610
       511.29950      -27.596961
       513.22202      -27.436550
       515.07524      -27.213252
       516.86266      -26.945228
       518.59070      -26.638076
       520.26672      -26.295761
       521.89822      -25.929570
       523.49327      -25.539728
       525.06104      -25.130803
       526.60809      -24.696810
       528.14339      -24.240289
       529.67667      -23.765325
       531.21414      -23.263052
       532.76760      -22.737373
       534.34378      -22.180508
       535.95244      -21.587990
       537.60610      -20.958246
       539.31150      -20.279145
       541.08340      -19.546727
       542.93971      -18.755231
       544.88555      -17.885257
       546.93878      -16.925085
       549.10877      -15.854684
       551.40625      -14.651707
       553.83457      -13.288991
       556.37234      -11.730105
       558.97191      -9.9361818
       561.50252      -7.8651454
       563.75863      -5.4917979
       565.36877      -2.8398797
       565.97752    0.0017611798
       37.767648
       573.30007    0.0020506657
       572.48822       3.2863712
       570.36331       6.3298227
       567.50065       9.0114234
       564.38454       11.328555
       561.27361       13.324933
       558.29017       15.055326
       555.47262       16.567517
       552.82844       17.901623
       550.35032       19.092433
       548.02133       20.165701
       545.82061       21.140586
       543.73335       22.037210
       541.73759       22.864564
       539.82300       23.640456
       537.96710       24.363206
       536.16183       25.047303
       534.39546       25.700801
       532.65110       26.318767
       530.92196       26.912956
       529.19709       27.485520
       527.46442       28.033906
       525.71541       28.564039
       523.93971       29.075586
       522.12673       29.564928
       520.26670       30.038874
       518.34916       30.480363
